iter	RMSE
0	2544975.898
1	2523850.531
2	2499916.208
3	2477573.523
4	2454787.209
5	2434256.134
6	2414038.046
7	2393532.458
8	2371935.418
9	2354662.329
10	2332399.828
11	2312748.409
12	2292955.939
13	2273907.645
14	2253916.063
15	2234684.983
16	2216719.961
17	2198447.663
18	2179202.365
19	2158994.383
20	2142031.473
21	2124584.192
22	2106671.497
23	2088444.54
24	2074665.5
25	2058527.791
26	2042585.562
27	2026410.59
28	2011899.075
29	1996589.258
30	1979319.352
31	1963217.263
32	1948780.974
33	1934486.972
34	1919343.86
35	1905775.597
36	1892113.954
37	1881005.439
38	1867376.076
39	1851873.653
40	1837016.306
41	1822508.288
42	1810430.976
43	1798005.662
44	1784126.044
45	1772610.749
46	1758649.098
47	1748666.358
48	1737826.49
49	1725224.06
50	1713548.077
51	1701288.014
52	1691523.172
53	1678616.707
54	1669077.583
55	1656499.844
56	1646831.633
57	1634467.57
58	1624865.712
59	1615075.497
60	1603896.807
61	1592819.431
62	1582380.831
63	1571969.713
64	1562733.933
65	1554145.822
66	1544137.607
67	1534169.417
68	1526348.997
69	1514892.396
70	1505525.509
71	1494976.6
72	1487372.465
73	1481007.384
74	1471680.678
75	1464563.202
76	1456327.519
77	1447120.08
78	1441290.923
79	1433311.647
80	1425046.163
81	1416696.526
82	1408226.101
83	1401319.827
84	1394062.889
85	1388318.088
86	1381693.682
87	1375602.383
88	1368472.167
89	1361832.191
90	1355781.952
91	1349584.733
92	1342938.031
93	1334483.225
94	1327634.378
95	1320777.002
96	1315210.582
97	1308712.988
98	1303237.926
99	1295974.609
100	1290761.379
101	1285042.789
102	1280380.372
103	1275835.714
104	1269405.946
105	1263759.394
106	1260083.914
107	1254717.312
108	1251031.502
109	1245637.578
110	1240028.245
111	1235046.001
112	1229553.36
113	1223872.838
114	1219901.626
115	1214524.432
116	1208481.548
117	1204060.712
118	1199045.461
119	1193977.861
120	1189317.794
121	1184956.62
122	1180657.136
123	1175759.137
124	1170708.209
125	1167070.403
126	1161917.351
127	1157730.739
128	1154032.474
129	1150026.463
130	1145904.827
131	1142171.172
132	1137618.933
133	1133576.862
134	1130525.946
135	1126692.57
136	1123721.507
137	1122093.689
138	1118261.82
139	1115118.403
140	1111570.153
141	1107253.693
142	1104632.458
143	1101564.853
144	1097545.363
145	1094356.857
146	1090472.379
147	1087806.169
148	1084100.654
149	1080418.985
150	1076820.625
151	1073325.598
152	1069620.475
153	1066743.803
154	1064309.428
155	1062215.377
156	1058968.309
157	1056728.867
158	1053151.604
159	1050501.648
160	1048422.618
161	1044700.212
162	1041874.483
163	1038842.657
164	1036043.885
165	1033450.909
166	1030712.159
167	1027908.04
168	1025543.326
169	1022498.025
170	1020765.819
171	1018057.647
172	1014789.563
173	1012716.917
174	1009578.606
175	1007192.841
176	1004424.391
177	1001698.909
178	999237.1473
179	995959.9096
180	993709.2472
181	991579.5895
182	989350.5411
183	987436.4222
184	984717.481
185	982246.0054
186	980261.0603
187	977707.4228
188	975268.0168
189	973044.1252
190	970541.083
191	967980.5037
192	966322.2335
193	964769.9549
194	962750.3199
195	960313.9789
196	958132.3212
197	955622.696
198	953438.002
199	951587.3231
200	950136.4766
201	948950.2853
202	947043.7033
203	945575.085
204	943928.9676
205	941644.8567
206	939970.8216
207	937180.0725
208	935031.324
209	932877.6085
210	930488.9748
211	928793.4241
212	927228.4729
213	925721.7848
214	924341.9378
215	923089.7792
216	921618.8042
217	919846.7679
218	919003.7266
219	917213.4334
220	915764.6688
221	915160.8344
222	913243.2346
223	911648.8824
224	909728.3425
225	908027.7348
226	906317.163
227	904436.3222
228	902137.696
229	900701.6682
230	898908.3967
231	896738.9063
232	895126.3698
233	893899.7399
234	891857.3459
235	889999.017
236	889015.818
237	887565.6249
238	885519.3758
239	883855.3714
240	882421.4806
241	880809.3225
242	879738.5717
243	878273.2685
244	876626.1688
245	875472.2203
246	874114.0595
247	872978.846
248	871772.9741
249	870576.0163
250	868954.9404
251	867020.5528
252	865957.2807
253	864878.9349
254	863173.8563
255	861849.6641
256	860578.9176
257	858952.2936
258	857569.1615
259	856431.9445
260	855376.6955
261	854244.2113
262	853046.9427
263	852016.2131
264	851098.0815
265	850019.1005
266	849160.5343
267	847815.0095
268	846897.5664
269	846187.0422
270	844531.5245
271	843558.3738
272	841795.3516
273	840485.1578
274	839168.2788
275	838115.7735
276	836901.6455
277	835744.8769
278	834945.6378
279	834125.6871
280	832722.0316
281	831255.1181
282	830560.5257
283	829421.5553
284	828596.0835
285	827738.647
286	827477.265
287	826284.9343
288	825130.5244
289	823777.1668
290	822553.1277
291	820893.3532
292	820384.3922
293	819755.6857
294	818643.323
295	817102.4793
296	816097.2503
297	815195.6837
298	814471.5459
299	813484.9804
300	812988.1627
301	811961.2973
302	810587.2088
303	809671.1718
304	808870.5483
305	808175.47
306	807125.7934
307	806210.9822
308	805323.6738
309	804143.0268
310	802933.2524
311	801979.0295
312	801385.0877
313	800413.2932
314	799294.1258
315	798808.5736
316	797844.1927
317	797389.9643
318	796558.9773
319	795562.5101
320	794406.4121
321	793497.0746
322	792566.3531
323	791826.6658
324	790823.0849
325	789685.2083
326	789026.2821
327	788314.2672
328	787550.3978
329	786482.6513
330	785705.6249
331	784980.3589
332	784152.9313
333	783147.5218
334	782114.1836
335	781690.4815
336	780463.2531
337	779408.5493
338	778634.3823
339	777644.2262
340	776958.9656
341	775962.687
342	775271.8775
343	774484.501
344	773150.1835
345	772366.4692
346	772161.3041
347	771776.5405
348	771127.6511
349	770195.1344
350	769506.3538
351	768546.2861
352	767485.0405
353	766638.3287
354	765760.3855
355	764764.7759
356	764150.7887
357	763779.0967
358	762746.378
359	761772.2058
360	760681.5972
361	760016.8157
362	759268.9471
363	758430.6404
364	757412.9771
365	756336.1792
366	755778.4775
367	754976.9255
368	753905.8786
369	753309.7985
370	752570.4621
371	751775.1511
372	750767.8928
373	749948.1361
374	749057.2257
375	748277.967
376	747691.9835
377	746638.6922
378	746069.9942
379	745164.1705
380	744485.1327
381	743618.2011
382	743090.3958
383	742280.128
384	741659.4687
385	741238.8512
386	740314.5089
387	740012.2578
388	739549.5573
389	738977.3349
390	737987.275
391	737557.4438
392	736789.431
393	736235.1773
394	735773.3836
395	735216.584
396	734556.821
397	733626.7415
398	733164.7321
399	732258.3547
400	731716.5117
401	730606.5908
402	729948.8069
403	728852.3396
404	728133.2633
405	727580.4818
406	727035.5479
407	726141.941
408	725634.5986
409	725201.6185
410	724506.8711
411	723898.6688
412	723259.0533
413	722711.0896
414	722310.2609
415	722128.9679
416	721141.4948
417	720579.7789
418	720067.7279
419	719760.8134
420	719338.3261
421	718735.5473
422	717975.99
423	716857.7795
424	716339.0659
425	715813.9961
426	715360.4993
427	714693.0958
428	714118.7798
429	713739.9161
430	713179.6411
431	712381.5438
432	711835.5216
433	710944.7205
434	710511.1944
435	709913.1181
436	709450.1297
437	708889.7383
438	708277.5427
439	707464.022
440	706304.1489
441	705585.5864
442	704898.9962
443	704199.815
444	703278.5611
445	702487.506
446	701475.7284
447	700240.5686
448	699647.283
449	698481.9763
450	698202.8176
451	697426.9064
452	696290.885
453	695576.7373
454	694680.506
455	694053.1994
456	692998.7854
457	691874.8736
458	691179.287
459	690168.2244
460	689960.6336
461	689790.9423
462	689067.508
463	688407.7885
464	687820.3401
465	687189.6766
466	686744.5287
467	685390.9802
468	684866.7539
469	684530.3485
470	683993.7627
471	683214.3349
472	682693.2543
473	682350.8006
474	682061.743
475	681442.1421
476	681055.3784
477	680755.4406
478	680275.6615
479	680095.6963
480	679377.9484
481	678884.5708
482	678371.233
483	678121.9172
484	676713.3672
485	675941.5389
486	675523.2306
487	674922.6681
488	674312.2267
489	674177.7555
490	673643.7564
491	673262.8701
492	672921.2993
493	672643.0476
494	672022.5798
495	671081.5246
496	670614.2033
497	669748.7376
498	668984.4765
499	668707.3664
500	668423.2888
501	667825.7587
502	667259.2974
503	666676.0624
504	666425.745
505	665784.7812
506	665497.3943
507	665064.9059
508	663763.4752
509	663515.7021
510	663303.5342
511	663208.7437
512	662824.8093
513	662455.4505
514	662177.0535
515	661526.7227
516	661307.9518
517	660801.4715
518	660606.5567
519	659933.3252
520	659540.7923
521	659178.476
522	657892.3242
523	657558.8467
524	657354.3913
525	656767.6353
526	656231.7903
527	655885.7289
528	655262.5081
529	654285.9394
530	653730.6272
531	653543.2057
532	653385.2222
533	653203.5368
534	653018.5389
535	652849.0703
536	652249.5361
537	652063.6346
538	651591.8817
539	651085.8316
540	650895.4828
541	649775.7039
542	649574.3547
543	649266.8559
544	649078.1882
545	648826.2626
546	648236.5652
547	647626.5154
548	647110.5608
549	646530.9527
550	645351.2761
551	644837.3804
552	644506.4184
553	643974.7232
554	643289.7203
555	642974.7907
556	642329.069
557	641843.1117
558	641467.8877
559	641044.5265
560	640656.9225
561	640496.2161
562	639817.9732
563	639384.2586
564	638827.5076
565	638074.0882
566	637801.6631
567	637536.901
568	636809.486
569	636481.677
570	635293.0172
571	634795.2965
572	634434.5408
573	634149.1859
574	633347.9307
575	633010.1373
576	632487.1593
577	632331.5425
578	632169.6333
579	631705.6207
580	631298.7039
581	631192.1278
582	630670.7468
583	630473.9931
584	630087.3296
585	630016.5415
586	629793.6232
587	629262.3759
588	628650.6817
589	628011.6656
590	626985.7844
591	626399.9346
592	626019.9169
593	625580.4258
594	625442.2369
595	625307.3153
596	625163.219
597	624025.5946
598	623562.8966
599	623448.2878
600	622851.4264
601	622218.7827
602	621789.8538
603	621708.6488
604	621060.5153
605	621008.2519
606	620443.4176
607	620342.7255
608	619553.6992
609	619328.0588
610	619069.5536
611	618572.8186
612	618166.5594
613	617777.2474
614	616881.7177
615	616379.2168
616	615834.1751
617	615640.1449
618	615234.5708
619	614497.4859
620	614400.904
621	613894.4907
622	613611.4723
623	612999.3881
624	612630.1563
625	611636.5611
626	610913.2129
627	610278.669
628	610153.9471
629	609992.0593
630	609321.7738
631	609052.5418
632	608312.0182
633	608104.577
634	607701.8978
635	607018.7691
636	606879.5702
637	605957.9854
638	605796.0872
639	605474.8048
640	604829.8588
641	604713.7029
642	604408.6168
643	603879.7008
644	603345.3243
645	603211.6463
646	602247.344
647	602166.1047
648	601914.7668
649	600947.4209
650	600745.1796
651	600630.6074
652	600481.2201
653	600362.0128
654	599928.1581
655	599719.5511
656	599106.9546
657	598796.4766
658	598227.8377
659	598021.0931
660	597451.649
661	597147.9444
662	596807.764
663	596492.101
664	596120.1625
665	595650.1243
666	595591.3378
667	595185.4614
668	595096.4213
669	594612.0915
670	594554.9766
671	594089.2397
672	593562.0419
673	593370.7588
674	592977.8248
675	592765.5481
676	592506.9568
677	592330.2704
678	592015.0388
679	591940.7307
680	591415.3438
681	591168.836
682	590967.4744
683	590225.8084
684	589960.0789
685	589771.7686
686	589229.3338
687	589150.0737
688	589037.7621
689	588699.4252
690	588194.9521
691	588152.5464
692	587819.6225
693	587343.9187
694	586923.2229
695	586170.9486
696	585742.7017
697	585478.3979
698	584855.3964
699	584301.9104
700	583345.3189
701	583135.1621
702	582966.185
703	582780.868
704	582249.1221
705	582131.1309
706	581986.7819
707	581619.7628
708	581158.3724
709	580901.6313
710	580820.963
711	580413.0493
712	579968.0515
713	579443.0702
714	579006.9839
715	578494.9094
716	577931.6086
717	577519.4973
718	577352.6988
719	576995.7182
720	576801.2503
721	576755.2106
722	576267.9705
723	575715.5402
724	575619.135
725	575036.4433
726	574880.7104
727	574601.4815
728	574276.7953
729	574189.9229
730	573948.2388
731	573789.1115
732	573688.9929
733	573032.7657
734	572736.5869
735	572254.4971
736	571801.0198
737	571523.114
738	571273.565
739	571110.8046
740	570364.3679
741	569973.1113
742	569593.4839
743	569219.5743
744	568978.8243
745	568377.3306
746	568194.1066
747	567720.95
748	567569.1629
749	567169.1049
750	567079.5681
751	566520.036
752	566305.8833
753	565716.4564
754	565265.6929
755	564680.3635
756	564311.1142
757	564167.6403
758	563702.3919
759	562907.9185
760	562799.5786
761	562663.2857
762	562055.4712
763	561318.2814
764	561049.5282
765	560800.1039
766	560589.8414
767	560549.5755
768	560376.0015
769	560130.8572
770	559818.0385
771	559473.2197
772	558988.5413
773	558255.757
774	557710.518
775	557589.676
776	557225.5082
777	556779.1122
778	556437.3424
779	556174.64
780	555535.8432
781	555284.8063
782	554879.429
783	554282.2667
784	553909.0694
785	553580.9694
786	553110.4271
787	552844.0484
788	552452.487
789	552365.2712
790	551859.6939
791	551416.5263
792	551081.514
793	550383.9644
794	550177.4008
795	549581.4697
796	548904.3383
797	548594.682
798	548001.6797
799	547759.4382
800	547375.4188
801	546988.8716
802	546701.5407
803	546366.6423
804	546094.085
805	545766.574
806	545453.762
807	544916.3083
808	544523.7714
809	544221.8945
810	543712.2463
811	543376.7731
812	542590.4667
813	542218.2841
814	541758.7138
815	541290.7816
816	540811.1903
817	540450.616
818	539975.4887
819	539899.3487
820	539635.3772
821	539155.1972
822	538861.0423
823	538558.7202
824	538213.0555
825	538057.2955
826	537999.5224
827	537714.7452
828	537053.1025
829	536738.3874
830	536464.5765
831	536217.0356
832	535639.729
833	535246.3229
834	534993.7791
835	534953.7032
836	534884.5243
837	534721.8344
838	534072.5017
839	533936.0271
840	533744.4127
841	533670.1067
842	533469.6756
843	533331.8409
844	532932.3749
845	532651.4363
846	532147.3558
847	532079.1246
848	531676.3027
849	531324.4991
850	530744.9167
851	530444.35
852	530286.03
853	529970.8451
854	529730.2117
855	529340.4937
856	529145.9128
857	528601.4991
858	528534.0766
859	528237.6603
860	527911.2007
861	527672.1592
862	526901.7307
863	526817.7687
864	526793.1028
865	526691.3399
866	526354.1928
867	525737.3185
868	525238.2554
869	524945.4316
870	524438.4988
871	524243.2336
872	523943.3158
873	523872.0179
874	523574.4954
875	523347.7367
876	523148.7023
877	522817.8175
878	522527.646
879	522310.5254
880	521946.0906
881	521670.6506
882	521658.3606
883	521570.0998
884	521463.3473
885	521269.9034
886	520844.4697
887	520530.9246
888	520401.0646
889	520333.8306
890	520183.6341
891	519994.0419
892	519625.9654
893	519212.2662
894	518852.0133
895	518465.9594
896	518349.5155
